Ensembl_id	log2FoldChange	
ENSG00000168427	-1.826684158	
ENSG00000211955	4.411388414	
ENSG00000168421	2.832240431	
ENSG00000122224	3.438893639	
ENSG00000229425	-3.060311251	
ENSG00000115919	2.71615805	
ENSG00000104332	2.890716048	
ENSG00000172116	2.977321296	
ENSG00000040608	1.726341978	
ENSG00000227051	1.926148172	
ENSG00000110195	3.922481066	
ENSG00000175538	1.881103027	
ENSG00000169255	1.931303685	
ENSG00000015475	1.526605708	
ENSG00000148053	3.117679607	
ENSG00000147082	-1.70292226	
ENSG00000150337	3.366448885	
ENSG00000211668	4.396413587	
ENSG00000151883	2.046919172	
ENSG00000175564	-2.60520463	
ENSG00000164855	-2.214029166	
ENSG00000127743	3.424670873	
ENSG00000111796	2.944441931	
ENSG00000211644	3.463515379	
ENSG00000144730	1.7076596	
ENSG00000187164	1.924687535	
ENSG00000135917	4.220211999	
ENSG00000171596	3.100775265	
ENSG00000144410	-1.943336686	
ENSG00000197057	4.851012386	
ENSG00000224940	2.267084725	
ENSG00000157303	2.737879857	
ENSG00000117519	1.871936259	
ENSG00000172543	2.642266907	
ENSG00000211947	4.928917145	
ENSG00000261040	4.037245223	
ENSG00000285744	3.96659227	
ENSG00000047365	2.064226983	
ENSG00000189134	-1.685396448	
ENSG00000100077	2.898735505	
ENSG00000165259	1.829522597	
ENSG00000211653	4.664325512	
ENSG00000166428	2.995322592	
ENSG00000180061	2.222592624	
ENSG00000168528	-1.768631926	
ENSG00000189409	2.943679715	
ENSG00000173868	2.462728323	
ENSG00000110900	2.996054115	
ENSG00000158292	2.187719531	
ENSG00000173083	2.497707718	
ENSG00000204472	2.378424314	
ENSG00000162704	1.510417679	
ENSG00000196666	2.623358852	
ENSG00000240356	1.723902386	
ENSG00000074370	1.872457792	
ENSG00000065361	2.44427819	
ENSG00000138185	2.067216713	
ENSG00000109861	2.033264564	
ENSG00000138119	1.835647294	
ENSG00000104432	2.932140274	
ENSG00000155307	2.77984465	
ENSG00000141574	1.980334842	
ENSG00000164106	4.121598324	
ENSG00000227688	-2.160354801	
ENSG00000117226	2.147065411	
ENSG00000187889	-3.144411882	
ENSG00000135324	2.056786917	
ENSG00000154645	2.517996339	
ENSG00000122778	1.602439347	
ENSG00000008277	1.53031839	
ENSG00000120280	2.53654623	
ENSG00000165178	2.453121935	
ENSG00000081059	1.929361002	
ENSG00000257497	-1.527541921	
ENSG00000105369	3.38929545	
ENSG00000131171	1.835288807	
ENSG00000172575	2.88146271	
ENSG00000147889	2.560207429	
ENSG00000182580	1.90603794	
ENSG00000128203	2.630729053	
ENSG00000117595	2.615415393	
ENSG00000164128	3.115853334	
ENSG00000087589	2.358257328	
ENSG00000148848	2.960069426	
ENSG00000128849	2.007659862	
ENSG00000128340	2.334426493	
ENSG00000134602	1.738520791	
ENSG00000104043	2.320931762	
ENSG00000231672	1.968366464	
ENSG00000163995	-2.021328234	
ENSG00000164088	1.601013487	
ENSG00000006432	-1.879040735	
ENSG00000107798	1.590247765	
ENSG00000133317	4.193725731	
ENSG00000268895	1.727889639	
ENSG00000179344	2.314585872	
ENSG00000138311	2.484434569	
ENSG00000132561	2.309237008	
ENSG00000089692	2.558788513	
ENSG00000138795	2.596841711	
ENSG00000164946	1.811079584	
ENSG00000102385	3.13050332	
ENSG00000104549	1.797466092	
ENSG00000172927	4.55226926	
ENSG00000099282	1.605042896	
ENSG00000174946	2.839953768	
ENSG00000176194	4.140208157	
ENSG00000183734	2.755967163	
