Ensembl_id	Padj
ENSG00000100815	0.000202161
ENSG00000178996	0.000205232
ENSG00000087088	0.000205686
ENSG00000017797	0.000206503
ENSG00000204623	0.000211052
ENSG00000076662	0.000213478
ENSG00000163738	0.00021387
ENSG00000069431	0.000215396
ENSG00000143786	0.000215711
ENSG00000170906	0.000218073
ENSG00000213445	0.000225771
ENSG00000245958	0.000229201
ENSG00000014123	0.000229315
ENSG00000172757	0.000232341
ENSG00000129680	0.000232813
ENSG00000118705	0.000234048
ENSG00000119707	0.000234192
ENSG00000227855	0.000235255
ENSG00000100650	0.000235806
ENSG00000186166	0.000239569
ENSG00000091436	0.000240497
ENSG00000172663	0.000241685
ENSG00000149100	0.000242095
ENSG00000125347	0.000245591
ENSG00000134986	0.000250481
ENSG00000147394	0.000250576
ENSG00000161011	0.000250919
ENSG00000130066	0.000264031
ENSG00000204590	0.000270958
ENSG00000085415	0.000273492
ENSG00000166562	0.000277782
ENSG00000150687	0.000278019
ENSG00000221986	0.000278194
ENSG00000237036	0.000279876
ENSG00000131018	0.000282886
ENSG00000158710	0.000283322
ENSG00000126088	0.000283448
ENSG00000179820	0.00028401
ENSG00000132199	0.000284071
ENSG00000112561	0.000285961
ENSG00000225484	0.000285967
ENSG00000187288	0.000286068
ENSG00000204482	0.0002861
ENSG00000197102	0.000286482
ENSG00000110844	0.000286636
ENSG00000125246	0.000296894
ENSG00000108474	0.000297964
ENSG00000141404	0.000298138
ENSG00000091640	0.000298271
ENSG00000285108	0.000298376
ENSG00000080345	0.0002985
ENSG00000139746	0.000299845
ENSG00000071243	0.000302174
ENSG00000153922	0.000302662
ENSG00000197361	0.000307416
ENSG00000166949	0.000308043
ENSG00000124370	0.000308731
ENSG00000172824	0.000317214
ENSG00000151327	0.00031726
ENSG00000106538	0.000317504
ENSG00000140416	0.000323393
ENSG00000141504	0.0003237
ENSG00000134769	0.00032642
ENSG00000140474	0.000327569
ENSG00000000971	0.000329682
ENSG00000163743	0.000333552
ENSG00000150347	0.000337988
ENSG00000006459	0.000343668
ENSG00000123728	0.000344644
ENSG00000170476	0.000353997
ENSG00000077549	0.000359706
ENSG00000150636	0.000368835
ENSG00000133816	0.000372341
ENSG00000125337	0.000372427
ENSG00000123358	0.000374279
ENSG00000147010	0.000374452
ENSG00000104863	0.000379776
ENSG00000177666	0.000391662
ENSG00000197969	0.000392848
ENSG00000176731	0.000398497
ENSG00000005810	0.000400723
ENSG00000061938	0.00040132
ENSG00000198453	0.000404011
ENSG00000105677	0.000411029
ENSG00000086598	0.000411527
ENSG00000143110	0.00041212
ENSG00000140575	0.000412202
ENSG00000118418	0.000419259
ENSG00000047315	0.000421543
ENSG00000115806	0.000427454
ENSG00000107745	0.000428332
ENSG00000101189	0.000434277
ENSG00000153531	0.000435685
ENSG00000131368	0.000435933
ENSG00000163636	0.000436068
ENSG00000142227	0.000441166
ENSG00000165533	0.000446949
ENSG00000166887	0.0004475
ENSG00000102595	0.000447927
ENSG00000112305	0.000453883
ENSG00000164989	0.000456091
ENSG00000082014	0.000470742
ENSG00000125772	0.00048187
ENSG00000171298	0.00048198
ENSG00000138336	0.000483825
ENSG00000100320	0.000487598
ENSG00000060138	0.000487681
ENSG00000196670	0.000488668
ENSG00000100678	0.000489699
ENSG00000214063	0.000497996
ENSG00000156265	0.000498697
ENSG00000108518	0.000498809
ENSG00000166532	0.000498978
ENSG00000170832	0.000502351
ENSG00000162650	0.000508848
ENSG00000119041	0.000508938
ENSG00000196312	0.000515333
ENSG00000180879	0.000515865
ENSG00000114416	0.000522823
ENSG00000079616	0.000530723
ENSG00000100485	0.000538182
ENSG00000171858	0.000538666
ENSG00000108515	0.000539383
ENSG00000181396	0.000551852
ENSG00000153179	0.000552951
ENSG00000188176	0.000555049
ENSG00000004864	0.0005577
ENSG00000171365	0.000559346
ENSG00000139620	0.000564299
ENSG00000153187	0.000566827
ENSG00000113163	0.000572854
ENSG00000033867	0.000573051
ENSG00000228300	0.000576473
ENSG00000183486	0.000576656
ENSG00000135870	0.000577381
ENSG00000188001	0.000580896
ENSG00000196912	0.000583153
ENSG00000132170	0.000588356
ENSG00000135945	0.00059895
ENSG00000105655	0.00061383
ENSG00000133858	0.000614168
ENSG00000204264	0.000614224
ENSG00000184988	0.000614813
ENSG00000132680	0.000618434
ENSG00000130544	0.000620114
ENSG00000171862	0.000620115
ENSG00000223865	0.0006209
ENSG00000223482	0.000621187
ENSG00000125733	0.000622095
ENSG00000080546	0.000622143
ENSG00000178752	0.000622392
ENSG00000197077	0.000627896
ENSG00000147684	0.000628844
ENSG00000102606	0.000629279
ENSG00000160194	0.000641107
ENSG00000177694	0.000641503
ENSG00000138600	0.00064164
ENSG00000157514	0.000642774
ENSG00000101972	0.000644494
ENSG00000253549	0.000647903
ENSG00000107614	0.000652911
ENSG00000112159	0.000655153
ENSG00000105819	0.000661731
ENSG00000165410	0.000661879
ENSG00000111790	0.000662541
ENSG00000139624	0.000665099
ENSG00000251322	0.000669326
ENSG00000177830	0.000674861
ENSG00000127511	0.000675244
ENSG00000163995	0.000696605
ENSG00000112739	0.000702464
ENSG00000018625	0.000704477
ENSG00000147649	0.000708012
ENSG00000173267	0.00072153
ENSG00000198171	0.000724748
ENSG00000166888	0.000740357
ENSG00000242759	0.000745402
ENSG00000120742	0.000746142
ENSG00000106460	0.000746924
ENSG00000169062	0.000747985
ENSG00000008294	0.000752522
ENSG00000166444	0.000754095
ENSG00000140400	0.000754416
ENSG00000132405	0.000759127
ENSG00000133315	0.000769256
ENSG00000137171	0.000770209
ENSG00000169031	0.000781665
ENSG00000105705	0.000783021
ENSG00000149294	0.000793477
ENSG00000105698	0.000800603
ENSG00000080200	0.000801064
ENSG00000182199	0.000801124
ENSG00000170365	0.000802375
ENSG00000187239	0.000805122
ENSG00000182108	0.000805207
ENSG00000196189	0.000825027
ENSG00000164187	0.000828874
ENSG00000123349	0.00082897
